Source,Target
424694,369192
424694,10139
424694,152532
424694,397538
424694,1420
504172,4836
504172,436
504172,769
504172,709
504172,6977
450465,155
450465,1924
450465,1452
450465,141052
450465,8536
332562,525
332562,25196
332562,254470
332562,458737
332562,6477
446807,281957
446807,336843
446807,433808
446807,101299
446807,769
405774,198663
405774,131631
405774,294254
405774,9813
405774,185
369972,3558
369972,10734
369972,424
369972,769
369972,210577
505954,423
505954,424
505954,369885
505954,289
505954,1771
429197,424
429197,769
429197,640
429197,324786
429197,389015
484247,336843
484247,101299
484247,346364
484247,55721
484247,454983
446021,77
446021,13
446021,11778
446021,1368
446021,1369
451915,487558
451915,424
451915,769
451915,334543
451915,443009
375262,449176
375262,26280
375262,424694
375262,184352
375262,10139
407436,278927
407436,34584
407436,10140
407436,116149
407436,281957
489999,300668
489999,338970
489999,340677
489999,284276
489999,43923
487558,424
487558,769
487558,334543
487558,443009
426426,524
426426,141
426426,13
426426,112160
426426,171274
337167,281957
337167,867
337167,392044
337167,341174
337167,11027
399360,281957
399360,290512
399360,309050
399360,75174
399360,44363
398173,10781
398173,12521
398173,1696
398173,984
398173,5486
458594,10781
458594,357096
458594,74997
458594,473149
458594,956
433249,76341
433249,101299
433249,119450
433249,157336
433249,263115
210577,75780
210577,346364
210577,65754
210577,392044
210577,346685
438808,261023
438808,754
438808,4982
438808,277216
438808,2034
447332,381283
447332,405774
447332,110415
447332,19908
447332,311291
470044,281957
470044,392044
470044,133805
470044,671
470044,674
446101,4421
446101,10035
446101,336804
446101,342737
446101,366696
466411,8966
466411,262500
466411,198663
466411,131631
466411,34584
157336,568
157336,75612
157336,126889
157336,54138
157336,348
440161,281957
440161,3090
440161,682
440161,101299
440161,336843
263115,155
263115,272
263115,209112
263115,1452
263115,1924
155,49026
155,272
155,209112
155,40662
155,382322
520360,500
520360,1844
520360,949
520360,298
520360,339403
400535,4771
400535,1266
400535,1701
400535,562
400535,261023
315635,1924
315635,1452
315635,8536
315635,9531
315635,155
361292,342473
361292,19542
361292,71
361292,10560
361292,10139
569547,157353
569547,296
569547,78
